observationID,deploymentID,sequenceID,mediaID,timestamp,observationType,cameraSetup,taxonID,scientificName,count,countNew,lifeStage,sex,behaviour,individualID,classificationMethod,classifiedBy,classificationTimestamp,classificationConfidence,comments,_id,speed,radius,angle
575b64b6-093e-455a-a08e-cc1eb7e9907c,04f0900d-3b3b-4218-a214-d7f71bbff15a,ac324b8a-70de-43c5-8b9c-b829444576dc,,2023-02-10T15:42:31+01:00,human,False,6MB3T,Homo sapiens,1,,,,,,human,Kristof Baert,2023-03-27T09:02:46Z,,,,,,
329ad6ea-9cbf-4b21-a5ef-eab63f610d49,04f0900d-3b3b-4218-a214-d7f71bbff15a,02df0353-dfc6-4ded-8770-1f1c6c357dce,,2023-02-10T15:47:17+01:00,human,False,6MB3T,Homo sapiens,1,,,,,,human,Kristof Baert,2023-03-27T09:04:04Z,,,,,,
7fcbad4f-295a-41ec-929f-d9f3babfdf7d,04f0900d-3b3b-4218-a214-d7f71bbff15a,7a6f4f3f-9a09-4418-9d97-c3e47e8d3e9f,,2023-02-10T19:19:02+01:00,animal,False,4RM67,Rattus norvegicus,1,,adult,,,,human,Kristof Baert,2023-03-27T09:06:20Z,,,,,,
3a667657-0df2-4e85-b5ae-da21dad28dd3,04f0900d-3b3b-4218-a214-d7f71bbff15a,421f4278-8fcc-4f1c-a306-26b41eb06f04,,2023-02-10T20:04:15+01:00,blank,False,,,1,,,,,,human,Kristof Baert,2023-03-27T09:07:53Z,,,,,,
5ce26d17-72a1-49a1-8df4-57310e9bc430,04f0900d-3b3b-4218-a214-d7f71bbff15a,d641cbc6-d7ca-4dcb-865c-f827dc46c0b3,,2023-02-10T21:01:08+01:00,blank,False,,,1,,,,,,human,Kristof Baert,2023-03-27T09:08:45Z,,,,,,
73cc2d0b-2a7f-40d9-95c1-4af72cb1431d,04f0900d-3b3b-4218-a214-d7f71bbff15a,85cb415e-22a3-4b24-aafa-d21d4b491143,,2023-02-10T23:26:00+01:00,blank,False,,,1,,,,,,human,Kristof Baert,2023-03-27T09:09:05Z,,,,,,
a5e2e4aa-b770-4038-9862-9d68b06ff471,04f0900d-3b3b-4218-a214-d7f71bbff15a,2dde1007-9068-499d-b37c-4ad6f0afa0d0,,2023-02-10T23:31:45+01:00,blank,False,,,1,,,,,,human,Kristof Baert,2023-03-27T09:09:23Z,,,,,,
3f1adca1-f296-440e-b136-04866b91f229,04f0900d-3b3b-4218-a214-d7f71bbff15a,d6461940-90ee-499d-a705-e5841041e78a,,2023-02-10T23:55:58+01:00,blank,False,,,1,,,,,,human,Kristof Baert,2023-03-27T09:09:39Z,,,,,,
0e56fd9a-4f8d-4cfe-8901-b03d2534c522,04f0900d-3b3b-4218-a214-d7f71bbff15a,3478548f-c67b-46a5-8ead-af5408119af3,,2023-02-11T00:04:00+01:00,animal,False,4RM67,Rattus norvegicus,1,,adult,,,,human,Kristof Baert,2023-03-27T09:25:04Z,,,,,,
4ea09515-7dae-4558-a67a-a1839fb7182a,04f0900d-3b3b-4218-a214-d7f71bbff15a,aeb3802a-46c9-45f1-837e-757818aefd50,,2023-02-11T00:07:49+01:00,animal,False,4RM67,Rattus norvegicus,1,,,,,,human,Kristof Baert,2023-03-27T09:10:46Z,,,,,,
f7b2be8b-5a4e-48b0-99cd-53cffbdd2cc8,04f0900d-3b3b-4218-a214-d7f71bbff15a,5342ed40-8340-4646-b59a-f053c89b36d7,,2023-02-11T00:14:49+01:00,animal,False,4RM67,Rattus norvegicus,1,,adult,,,,human,Kristof Baert,2023-03-27T09:13:11Z,,,,,,
a463e698-0fb9-4915-b831-207a073f9a30,04f0900d-3b3b-4218-a214-d7f71bbff15a,00db0dd8-4a16-4c06-9522-9d0c694e85ac,,2023-02-11T00:41:24+01:00,animal,False,4RM67,Rattus norvegicus,1,,adult,,,,human,Kristof Baert,2023-03-27T09:26:28Z,,,,,,
e8d0a43b-d74f-4a34-8d68-5cc1ccae6b08,04f0900d-3b3b-4218-a214-d7f71bbff15a,fb0eb47c-8b9d-4d53-832a-d57d6abfc488,,2023-02-11T00:43:50+01:00,animal,False,4RM67,Rattus norvegicus,1,,adult,,,,human,Kristof Baert,2023-03-27T09:15:29Z,,,,,,
3b2a3d0b-c05e-46e4-8de0-292df33c311a,04f0900d-3b3b-4218-a214-d7f71bbff15a,99a73c55-7622-4841-b3e1-478c285d434a,,2023-02-11T01:00:58+01:00,blank,False,,,1,,,,,,human,Kristof Baert,2023-03-27T09:16:15Z,,,,,,
75c1e3a7-9d19-4f52-9ce7-d72196cc5b9e,04f0900d-3b3b-4218-a214-d7f71bbff15a,11fdb2d3-b571-447c-ad61-6296a9e8817d,,2023-02-11T01:30:05+01:00,animal,False,3DXV3,Felis catus,1,,adult,,,,human,Kristof Baert,2023-03-27T09:16:42Z,,,,,,
a33aa5a6-8b6d-40af-8cc4-ba03422a2fff,04f0900d-3b3b-4218-a214-d7f71bbff15a,5d7293a1-6fc7-41d8-ae30-de3b0d4ad528,,2023-02-11T01:36:06+01:00,animal,False,3DXV3,Felis catus,1,,adult,,,,human,Kristof Baert,2023-03-27T09:17:02Z,,,,,,
ab5bac90-299e-4984-bdb6-0ad91b2e25dc,04f0900d-3b3b-4218-a214-d7f71bbff15a,bc8dde38-6a73-4535-8e25-9fd41f6edc88,,2023-02-11T01:43:15+01:00,animal,False,4RM67,Rattus norvegicus,1,,adult,,,,human,Kristof Baert,2023-03-27T09:21:36Z,,,,,,
e5b9e91a-16fb-4674-96be-c8ab01fddb24,04f0900d-3b3b-4218-a214-d7f71bbff15a,ddb61040-a81e-4923-b8dc-cceb911a18f8,,2023-02-11T03:14:04+01:00,animal,False,4RM67,Rattus norvegicus,1,,adult,,,,human,Kristof Baert,2023-03-27T09:30:05Z,,,,,,
