observationID,deploymentID,sequenceID,mediaID,timestamp,observationType,cameraSetup,taxonID,scientificName,count,countNew,lifeStage,sex,behaviour,individualID,classificationMethod,classifiedBy,classificationTimestamp,classificationConfidence,comments,_id,speed,radius,angle
360d8f88-28a4-4cc8-8253-59a4e4ac8c3d:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,360d8f88-28a4-4cc8-8253-59a4e4ac8c3d,,2023-04-05T23:53:43+01:00,unclassified,False,,,,,,,,,,,,,,,,,
47e3456f-d3de-4a45-b793-05006b5a588c:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,47e3456f-d3de-4a45-b793-05006b5a588c,,2023-04-06T00:05:21+01:00,unclassified,False,,,,,,,,,,,,,,,,,
99c8af85-deca-4200-b426-bb49bc05198b:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,99c8af85-deca-4200-b426-bb49bc05198b,,2023-04-06T00:08:43+01:00,unclassified,False,,,,,,,,,,,,,,,,,
f376420e-9f33-4be8-a544-6f80e8610449:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,f376420e-9f33-4be8-a544-6f80e8610449,,2023-04-06T00:12:47+01:00,unclassified,False,,,,,,,,,,,,,,,,,
fa3c2709-6bde-45cb-9b52-4de0da1b6667:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,fa3c2709-6bde-45cb-9b52-4de0da1b6667,,2023-04-06T00:21:30+01:00,unclassified,False,,,,,,,,,,,,,,,,,
899b74cf-0f1f-48fa-8a38-26c3ac143e9f:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,899b74cf-0f1f-48fa-8a38-26c3ac143e9f,,2023-04-06T00:29:58+01:00,unclassified,False,,,,,,,,,,,,,,,,,
39004074-4753-44ae-92b3-b583c5bd743d:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,39004074-4753-44ae-92b3-b583c5bd743d,,2023-04-06T00:36:57+01:00,unclassified,False,,,,,,,,,,,,,,,,,
6a0dfee4-dbda-429d-ad51-7c651effd5c5:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,6a0dfee4-dbda-429d-ad51-7c651effd5c5,,2023-04-06T00:41:14+01:00,unclassified,False,,,,,,,,,,,,,,,,,
e90f9ecb-43f6-4336-b0a0-27bd82faac8c:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,e90f9ecb-43f6-4336-b0a0-27bd82faac8c,,2023-04-06T00:45:53+01:00,unclassified,False,,,,,,,,,,,,,,,,,
a745abf7-296a-4e13-8ab8-a84ec9abbe85,02182ee6-d75f-497b-b4e9-de5985a3514d,a3d7a3d2-68a4-4b54-ad1a-49792b8d1b99,,2023-04-06T00:49:53+01:00,animal,False,3Z5,Rodentia,1,,unknown,unknown,,,machine,Western Europe species model Version 4a,2023-08-18T09:48:45Z,0.71,,,,,
aa4dea71-f9a9-4589-a772-8a2decbeaade:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,aa4dea71-f9a9-4589-a772-8a2decbeaade,,2023-04-06T01:07:03+01:00,unclassified,False,,,,,,,,,,,,,,,,,
d2ff3b8e-2410-454e-86a9-9bed05e31526,02182ee6-d75f-497b-b4e9-de5985a3514d,0bd0d315-1bd1-4375-8713-99fa870e500b,,2023-04-06T01:26:42+01:00,animal,False,5G6ZJ,Canis lupus familiaris,1,,unknown,unknown,,,machine,Western Europe species model Version 4a,2023-08-18T09:49:10Z,0.71,,,,,
b2f4d705-10ea-4e34-a03a-d9e99f61ee44:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,b2f4d705-10ea-4e34-a03a-d9e99f61ee44,,2023-04-06T01:30:37+01:00,unclassified,False,,,,,,,,,,,,,,,,,
425556d4-6e3e-47fd-8eee-60b48fcb0bd6:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,425556d4-6e3e-47fd-8eee-60b48fcb0bd6,,2023-04-06T01:33:28+01:00,unclassified,False,,,,,,,,,,,,,,,,,
8e29354c-87f4-4e73-a998-9d45a23d2768:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,8e29354c-87f4-4e73-a998-9d45a23d2768,,2023-04-06T01:37:17+01:00,unclassified,False,,,,,,,,,,,,,,,,,
db812a77-e306-4f47-923d-716ab54b9676:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,db812a77-e306-4f47-923d-716ab54b9676,,2023-04-06T01:40:57+01:00,unclassified,False,,,,,,,,,,,,,,,,,
ea4c730c-0ac9-44d3-b90c-922c51752186:seq,02182ee6-d75f-497b-b4e9-de5985a3514d,ea4c730c-0ac9-44d3-b90c-922c51752186,,2023-04-06T01:44:01+01:00,unclassified,False,,,,,,,,,,,,,,,,,
